"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"ABC transporters","15/45",0.0260829077605413,0.0634015296333158,0,0,1.98939620758483,7.25428364398337,"ABCC3;ABCC4;ABCC1;ABCB1;ABCA6;ABCB4;ABCC5;ABCB5;ABCA4;ABCC6;ABCA7;ABCC9;ABCB9;ABCA10;ABCB10"
"beta-Alanine metabolism","11/30",0.026556073627279,0.064058925696337,0,0,2.30280211995592,8.35571011316121,"ALDH3A2;ALDH3A1;ALDH6A1;ALDH1B1;ALDH2;SMOX;ALDH3B1;GADL1;ABAT;MLYCD;ACADS"
"Glutathione metabolism","18/57",0.0273821334674384,0.065551167997807,0,0,1.83670411985019,6.60821262604694,"GGT5;GSTM3;G6PD;GSTM2;GPX1;GPX4;GPX3;GSTO1;GSS;GSR;IDH2;GPX8;PRDX6;SRM;GSTA4;ANPEP;GCLM;GSTM5"
"Dopaminergic synapse","36/132",0.0287966773126679,0.0684191731639328,0,0,1.49369826937547,5.29888754479516,"GRIA1;CAMK2D;MAOB;MAOA;CAMK2A;ITPR1;ITPR2;CACNA1C;GNAI1;ARNTL;PPP1CB;PPP2CB;GNG2;GNG5;CREB3L1;KIF5B;AKT3;CREB3L2;PRKACB;GRIA3;PPP2R3A;MAPK14;GNG11;PPP1CA;MAPK10;MAPK11;CREB1;PLCB4;GNAQ;GNB2;PPP1R1B;GNB4;CALM1;PLCB1;ATF4;CREB5"
"Insulin secretion","25/86",0.0299618467984855,0.0706562954352344,0,0,1.63155348165886,5.72321303286625,"CAMK2D;CAMK2A;ADCY4;ADCY3;ATP1A2;ADCY1;ATP1A1;CACNA1C;ADCY8;CCKAR;CREB3L1;CREB3L2;PRKACB;TRPM4;CCK;ATP1B1;CREB1;PLCB4;GNAQ;KCNMA1;PLCB1;VAMP2;ATF4;CREB5;RAPGEF4"
"Human immunodeficiency virus 1 infection","54/212",0.033383036521042,0.0778898390327207,0,0,1.36218031516404,4.63101449297992,"PIK3CD;IKBKB;TRIM5;CASP3;AKT3;CFL1;AP1S2;RAC3;RAC1;HRAS;MAP2K3;MAP2K1;CHUK;HLA-B;HLA-A;TNFRSF1B;HLA-E;PIK3CA;RAF1;CRK;PXN;CUL1;ITPR1;PIK3R3;ITPR2;PIK3R1;SAMHD1;GNAI1;RELA;NRAS;GNG2;GNG5;PLCG2;PTK2B;PAK3;AP1M1;MAP2K6;MAPK3;APOBEC3C;JUN;LIMK1;MAPK14;GNG11;MTOR;NFATC4;NFKBIA;MAPK10;MAPK11;WEE1;GNAQ;GNB2;BCL2;GNB4;CALM1"
"Sulfur metabolism","5/10",0.0335222092039557,0.0778898390327207,0,0,3.97511199601792,13.4976800042943,"MPST;SELENBP1;TST;ETHE1;PAPSS2"
"Thyroid hormone synthesis","22/75",0.0363145078345147,0.0837619304796105,0,0,1.65207754665107,5.47752580671423,"GPX1;GPX3;GSR;GPX8;ADCY4;ITPR1;ADCY3;ITPR2;ATP1A2;ADCY1;ATP1A1;ATP1B1;ADCY8;CREB1;PLCB4;CREB3L1;GNAQ;CREB3L2;PLCB1;PRKACB;ATF4;CREB5"
"Spinocerebellar ataxia","38/143",0.0369082597034977,0.0845145656978642,0,0,1.44144350839457,4.75578327039505,"GRIA1;ITPR1;ITPR2;PIK3R3;ATP2A2;PIK3CD;RORA;PIK3R1;RBPJ;PSMA7;PSMD8;ATXN2;PSMD7;ATXN1;AKT3;ATXN1L;CIC;GRIA3;MAP3K5;NFYA;KCND3;WIPI1;WIPI2;MTOR;PSMA5;MAPK10;PSMC5;FGF14;PLCB4;PIK3CA;GNAQ;PPIF;TBPL1;ULK2;VDAC2;PIK3C3;PLCB1;SLC25A4"
"Basal cell carcinoma","19/63",0.0378658920393517,0.0860836106793896,0,0,1.718321451276,5.62527669889916,"CDKN1A;TCF7L1;FZD5;GADD45B;FZD4;FZD7;WNT5A;FZD6;FZD8;AXIN2;GLI3;GLI2;DDB2;GADD45G;SMO;SUFU;DVL2;TP53;WNT2"
"Notch signaling pathway","18/59",0.0381878353042796,0.0861953996868025,0,0,1.74688955878323,5.70401062615778,"JAG2;TLE3;NOTCH3;TLE2;HDAC2;TLE1;NOTCH1;JAG1;CTBP1;PSEN1;RBPJ;DLL1;LFNG;DLL4;ADAM17;ATXN1;ATXN1L;DVL2"
"GnRH secretion","19/64",0.0440218680766747,0.0986589383846043,0,0,1.68003108003108,5.24685259327436,"MAP2K1;ITPR1;PIK3CD;ITPR2;PIK3R3;CACNA1C;PIK3R1;CACNA1G;NRAS;PLCB4;PIK3CA;GPER1;GNAQ;AKT3;GNRH1;PLCB1;RAF1;HRAS;MAPK3"
"B cell receptor signaling pathway","23/81",0.0465096005236116,0.103500237784939,0,0,1.57817672413793,4.84199852288884,"MAP2K1;JUN;CHUK;PIK3CD;PIK3R3;PIK3R1;MALT1;RELA;IKBKB;NFKBIA;NRAS;PIK3CA;INPP5D;AKT3;BLNK;PLCG2;RAC3;RAC1;RAF1;HRAS;SOS2;MAPK3;NFKBIB"
"Chemical carcinogenesis","59/239",0.047827268480937,0.105688229650182,0,0,1.30623248121987,3.97115486731817,"RB1;HSP90AB1;PIK3CD;CCND3;CREB3L1;MYC;RPS6KA2;AKT3;CREB3L2;JAK2;PRKACB;HRAS;KPNA3;MAP2K1;HSP90AA1;GSTO1;CREB1;PIK3CA;PPARA;RAF1;SOS2;KPNB1;ATF4;CREB5;ADCY4;PIK3R3;ADCY3;PIK3R1;ADCY1;CACNA1C;ADCY8;PTGS2;DLL1;EGFR;GNAI1;RELA;CYP3A7;HSD11B1;DLL4;NRAS;RXRA;MAPK3;STAT5A;GSTM3;STAT5B;GSTM2;JUN;JAG1;STAT3;KLF4;ESR1;MTOR;VEGFA;KLF5;GSTA4;BCL6;BCL2;GSTM5;FGF10"
"Amphetamine addiction","20/69",0.0498497873282351,0.109392588859183,0,0,1.62408805640667,4.87021952164075,"GRIA1;CAMK2D;HDAC2;JUN;MAOB;MAOA;CAMK2A;CACNA1C;PPP1CA;PPP1CB;CREB1;CREB3L1;CAMK4;CREB3L2;PPP1R1B;CALM1;PRKACB;GRIA3;ATF4;CREB5"
"Endocrine and other factor-regulated calcium reabsorption","16/53",0.053318038630012,0.115400686349889,0,0,1.72023283578063,5.04282913264526,"CLTB;AP2A1;ATP1A2;ATP1A1;ATP2B1;ATP1B1;ESR1;SLC8A1;DNM1;DNM3;PLCB4;GNAQ;CLTCL1;BDKRB2;PLCB1;PRKACB"
"Glycosaminoglycan biosynthesis","16/53",0.053318038630012,0.115400686349889,0,0,1.72023283578063,5.04282913264526,"CSGALNACT1;HS3ST3B1;B4GALT1;CHST7;B3GAT3;GLCE;CSGALNACT2;HS6ST1;HS2ST1;EXT1;EXTL2;CHST15;CHSY3;CHST14;ST3GAL1;CHST3"
"Sphingolipid metabolism","15/49",0.0538196398803374,0.115693919742766,0,0,1.75490929904896,5.12804998891102,"CERS4;CERS5;CERS6;SGMS1;SPHK1;GBA;SGMS2;GBA2;GALC;UGCG;SPTLC3;NEU1;ACER3;DEGS1;KDSR"
"Phagosome","39/152",0.0567844694136206,0.121242515775028,0,0,1.37429363471585,3.94215086917061,"ATP6V1A;ITGB1;SCARB1;STX12;RAB5C;C1R;TCIRG1;THBS2;THBS1;ACTB;CTSS;ACTG1;EEA1;MRC2;SEC61A2;SEC61A1;TUBA1C;TUBA1B;TUBA1A;ATP6V0A2;RAC1;ATP6V1E1;RILP;ATP6V0A1;MSR1;ATP6V0B;ATP6V0E1;ITGA2;TUBB;STX7;HLA-B;CYBA;HLA-A;TUBA4A;HLA-E;FCGR2A;PIK3C3;ATP6V0D1;SEC22B"
"Histidine metabolism","8/22",0.0577150265408325,0.122402338167135,0,0,2.2719089130048,6.48002428457034,"ALDH3A2;ALDH3A1;MAOB;ALDH1B1;ALDH2;MAOA;ALDH3B1;HNMT"
"D-Glutamine and D-glutamate metabolism","3/5",0.058783551434137,0.123837348354582,0,0,5.96082089552239,16.8923298065668,"GLUD1;GLUD2;GLS"
"Hepatitis C","40/157",0.0596888904119172,0.124911850133549,0,0,1.3613412558931,3.837089214391,"RB1;SCARB1;CDKN1A;PIK3R3;PIK3CD;PIK3R1;IFIT1;EGFR;RELA;IKBKB;PPP2CB;NRAS;RXRA;MYC;CASP3;AKT3;HRAS;LDLR;MAPK3;MAP2K1;CHUK;STAT1;MX1;STAT3;CFLAR;TICAM1;NFKBIA;CLDN11;MAVS;CDK6;PIK3CA;CDK4;TRAF3;PSME3;OAS3;RAF1;PPARA;TP53;SOS2;TLR3"
"Pertussis","21/76",0.0713354003270375,0.148302542785157,0,0,1.51906773885784,4.01088960885017,"ITGB1;JUN;C1R;LY96;TICAM1;MAPK14;GNAI1;RELA;C2;C4B;MAPK10;C4A;MAPK11;CASP3;IRF1;CFL1;CASP1;SERPING1;IL12A;CALM1;MAPK3"
"Chagas disease","27/102",0.0725454419430651,0.149832416039272,0,0,1.43261261261261,3.7585195423619,"PIK3R3;PIK3CD;PIK3R1;ADCY1;GNAI1;RELA;IKBKB;PPP2CB;AKT3;BDKRB2;IL12A;MAPK3;JUN;TGFB2;CHUK;IFNGR1;CFLAR;TICAM1;MAPK14;TGFBR2;NFKBIA;MAPK10;MAPK11;PLCB4;PIK3CA;GNAQ;PLCB1"
"Cell cycle","32/124",0.073313633207767,0.150435766841912,0,0,1.38441929123136,3.6174996461549,"RB1;CDKN1A;HDAC2;PCNA;MCM7;CUL1;CDC14B;CCND3;CCND2;MYC;RAD21;E2F4;SKP2;TGFB2;CDKN2B;SMAD3;GADD45B;CDKN2A;CDC25B;GADD45G;CCNA2;RBL2;CDK7;WEE1;CDK6;TFDP1;TFDP2;CDK4;MDM2;MCM4;TP53;MCM2"
"Glycerophospholipid metabolism","26/98",0.0751740210665122,0.153258004238825,0,0,1.43694576487921,3.7187431775714,"AGPAT5;DGKB;PLD1;LCLAT1;AGPAT2;PLB1;PTDSS1;CDIPT;PCYT2;PLA2G4C;PLA2G2A;PLA2G4A;GPCPD1;CRLS1;PISD;PLA2G15;ETNK2;GPD2;ETNK1;LPCAT3;PEMT;GPD1L;LPIN1;LPIN3;DGKH;CDS2"
"Measles","35/139",0.0850174416401713,0.172214817681373,0,0,1.3394872116349,3.30170048456805,"PIK3R3;PIK3CD;TNFAIP3;CBLB;PIK3R1;RELA;BBC3;IFIH1;IKBKB;CCND3;CCND2;CASP3;AKT3;IL12A;STAT5A;HSPA8;STAT5B;JUN;CHUK;STAT1;HSPA6;MX1;STAT3;HSPA2;NFKBIA;MAPK10;MAVS;CDK6;PIK3CA;CDK4;TRAF3;OAS3;BCL2;TP53;NFKBIB"
"Renin secretion","19/69",0.085697182355336,0.172486048562332,0,0,1.51155344655345,3.71378906892207,"GUCY1A2;NPR1;PDE1A;ITPR1;ITPR2;CACNA1C;GNAI1;AGT;EDNRA;CREB1;PLCB4;GNAQ;KCNMA1;ADORA1;CLCA2;PRKG2;PLCB1;CALM1;PRKACB"
"Amino sugar and nucleotide sugar metabolism","14/48",0.0868136392571393,0.173627278514279,0,0,1.63750678620163,4.00205272457347,"CMAS;GALT;GFPT2;UAP1;CYB5R2;UGDH;UGP2;GNPDA1;NAGK;GMDS;GNPDA2;AMDHD2;PGM3;NANS"
"Synaptic vesicle cycle","21/78",0.0898011766154381,0.177516711947139,0,0,1.4655829979747,3.53228541643416,"ATP6V1A;NAPA;ATP6V0B;ATP6V0E1;SLC1A1;CLTB;AP2A1;TCIRG1;SLC1A7;DNM1;DNM3;RIMS1;STX1B;SLC6A9;CLTCL1;ATP6V0A2;ATP6V1E1;ATP6V0D1;STX2;VAMP2;ATP6V0A1"
