"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Bile secretion","8/90",0.783840586103318,0.931735036311491,0,0,0.791427136239326,0.192751773032742,"ABCC3;ABCC4;NCEH1;ADCY3;SLC4A2;ATP1A1;ATP1B1;LDLR"
"Morphine addiction","8/91",0.794012255593409,0.937988180759143,0,0,0.781847757161369,0.180338175409155,"GNG5;GRK5;PDE1A;GNB2;GNB4;ADCY3;GNG11;GNAI1"
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","2/26",0.795056648452988,0.937988180759143,0,0,0.676365434352655,0.155118941215424,"PIGA;PIGZ"
"Malaria","4/50",0.812906542264819,0.952347656698951,0,0,0.705543527916261,0.14614567269496,"CD40;SDC2;MET;THBS1"
"Rheumatoid arthritis","8/93",0.813274665561961,0.952347656698951,0,0,0.763365190469781,0.157777191248802,"ATP6V0B;ATP6V0E1;CSF1;ANGPT1;ATP6V0A2;TCIRG1;ATP6V1E1;ATP6V0A1"
"Thiamine metabolism","1/15",0.824961658345377,0.95895646710935,0,0,0.579803180396246,0.111564781999948,"AK5"
"p53 signaling pathway","6/73",0.825420377125222,0.95895646710935,0,0,0.726409106729726,0.139370648638337,"CCND3;CD82;GADD45B;AIFM2;CASP3;THBS1"
"Phototransduction","2/28",0.828051298583312,0.95895646710935,0,0,0.624267106695222,0.117786824881184,"GUCY2D;CALM1"
"Cell adhesion molecules","13/148",0.837666220788409,0.965258054398414,0,0,0.780618416581719,0.138275282235394,"ITGB1;CD40;ITGA4;NEGR1;SDC2;NRXN3;PTPRM;HLA-E;CDH4;ALCAM;ITGA8;ITGA6;MPZL1"
"Homologous recombination","3/41",0.842210667872436,0.965258054398414,0,0,0.640555155010815,0.109999395910943,"MUS81;POLD4;RAD51"
"Linoleic acid metabolism","2/29",0.842685603046234,0.965258054398414,0,0,0.601112294403029,0.102887186201178,"PLA2G2A;PLB1"
"Inflammatory bowel disease","5/65",0.85409997180531,0.973633957107529,0,0,0.67592169408897,0.106597602239151,"IFNGR1;STAT1;STAT3;RORA;RELA"
"Pentose phosphate pathway","2/30",0.856179701964398,0.973633957107529,0,0,0.579611397274565,0.0899991554642281,"H6PD;DERA"
